id,vertical,sector,macro_theme,problem_title,severity_score,urgency_score,frequency_score,opportunity_score,ai_fit_score,solution_direction
social_commerce--deepfake_voice_fraud,Social Commerce,shopping,fraud,Users are vulnerable to deepfake or voice-clone fraud in Social Commerce,86,90,72,84,52,"Out-of-band verification, secure callback flows, and synthetic-media detection."
social_commerce--phishing_login_flow,Social Commerce,shopping,identity,Users are tricked into phishing flows that mimic official Social Commerce login pages,87,94,79,86,57,"Phishing-resistant authentication, origin validation, and login anomaly detection."
social_commerce--job_opportunity_trap,Social Commerce,shopping,fraud,Users chasing Social Commerce opportunities fall into fake jobs or business offers,80,89,77,82,61,"Listing verification, recruiter proofing, and payout-safe workflows."
social_commerce--rental_listing_fraud,Social Commerce,shopping,fraud,Users searching Social Commerce listings cannot tell fake inventory from real supply,79,76,71,76,56,"Listing authenticity scoring, owner proof, and anti-escrow fraud protections."
social_commerce--investment_scam,Social Commerce,shopping,fraud,Users are lured into fake Social Commerce investment or yield schemes,89,88,66,82,49,"Investment verification rails, high-risk claim detection, and suspicious transfer intervention."
social_commerce--seller_trust_gap,Social Commerce,shopping,marketplace,Users do not trust whether a Social Commerce seller or provider is real,76,79,83,80,66,"Seller trust graphs, transaction guarantees, and identity-backed reputation."
social_commerce--fake_reviews,Social Commerce,shopping,trust,"Users cannot trust reviews, ratings, or testimonials in Social Commerce",71,72,86,77,71,"Review authenticity, verified outcomes, and anomaly-based reputation scoring."
social_commerce--delivery_confusion,Social Commerce,shopping,operations,Users struggle to understand real delivery status in Social Commerce,69,72,85,75,75,"Verified status feeds, exception alerts, and unified tracking UX."
social_commerce--refund_delay,Social Commerce,shopping,payments,Users cannot predict when Social Commerce refunds will actually arrive,73,70,81,76,77,"Refund timelines, bank-status translation, and self-serve refund intelligence."
social_commerce--billing_confusion,Social Commerce,shopping,payments,"Users do not understand Social Commerce charges, renewals, or fee structure",75,73,84,78,79,"Explainable billing, charge provenance, and proactive anomaly notices."
social_commerce--subscription_cancellation,Social Commerce,shopping,payments,Users cannot cancel or downgrade Social Commerce subscriptions cleanly,68,69,80,72,72,"Transparent offboarding, downgrade alternatives, and friction analytics."
social_commerce--account_takeover,Social Commerce,shopping,identity,Users lose access to Social Commerce accounts through takeover or session theft,86,90,74,85,69,"Session risk scoring, recovery hardening, and impossible-travel style anomaly controls."
social_commerce--password_reset_pain,Social Commerce,shopping,identity,Users hit dead ends in Social Commerce password reset and recovery flows,66,72,82,74,74,"Adaptive recovery routing, identity proofing, and state-aware help flows."
social_commerce--otp_mfa_fatigue,Social Commerce,shopping,identity,Users in Social Commerce face OTP and MFA fatigue without feeling truly protected,72,69,72,73,67,"Phishing-resistant auth, prompt abuse detection, and human-readable risk cues."
social_commerce--support_wait_time,Social Commerce,shopping,support,Users cannot reach useful human support quickly in Social Commerce,74,71,87,78,80,"Intent-aware routing, better escalation triggers, and queue transparency."
social_commerce--self_service_failure,Social Commerce,shopping,support,Users try self-service in Social Commerce but still end up stuck,70,71,88,77,86,"Resolution-focused knowledge design, step validation, and failure-loop analytics."
social_commerce--ai_handoff_gap,Social Commerce,shopping,support,Users in Social Commerce get trapped between AI help and human help,73,78,81,79,92,"Conversation memory, escalation contracts, and bot-to-human state transfer."
social_commerce--feedback_void,Social Commerce,shopping,support,Users report problems in Social Commerce but feel nothing changes,63,65,76,69,70,Closed-loop feedback orchestration and action-trace dashboards.
social_commerce--privacy_transparency_gap,Social Commerce,shopping,privacy,Users do not understand how Social Commerce uses personal data,67,62,78,72,71,"Plain-language data notices, purpose-level controls, and permission history."
social_commerce--onboarding_dropoff,Social Commerce,shopping,conversion,Users abandon Social Commerce onboarding before seeing value,66,65,85,75,78,"Risk-adaptive onboarding, progressive profiling, and abandonment analytics."
social_commerce--checkout_abandonment,Social Commerce,shopping,conversion,Users in Social Commerce abandon checkout when trust or cost changes too late,71,72,83,78,76,"Transparent checkout, pre-verified totals, and trust-state messaging."
social_commerce--hidden_fees,Social Commerce,shopping,payments,Users discover hidden or confusing fees in Social Commerce too late,69,71,77,74,70,"Price breakdowns, fee explainers, and cost-delta warnings."
social_commerce--official_channel_confusion,Social Commerce,shopping,trust,Users cannot tell which Social Commerce channels are official and safe,81,88,80,82,62,"Official-channel registries, signed notifications, and trust-verification UX."
social_commerce--knowledge_fragmentation,Social Commerce,shopping,support,"Users in Social Commerce get contradictory answers across help content, AI, and agents",66,63,75,70,84,"Unified knowledge graph, answer verification, and source-aware support systems."
social_commerce--identity_proofing_friction,Social Commerce,shopping,identity,Legitimate users in Social Commerce fail identity proofing while fraudsters still slip through,77,75,69,77,73,"Adaptive proofing, low-friction trust signals, and fallback recovery lanes."
banking--imposter_scam,Banking,finance,fraud,Users cannot tell real Banking outreach from imposter scams,89,83,88,86,60,"Trust verification layer, message provenance, and outbound notice registry."
banking--social_media_scam,Banking,finance,fraud,Users get pulled from social feeds into fake Banking offers,86,84,93,86,55,"Link reputation, seller verification, and ad-to-checkout risk scoring."
banking--deepfake_voice_fraud,Banking,finance,fraud,Users are vulnerable to deepfake or voice-clone fraud in Banking,90,90,74,86,49,"Out-of-band verification, secure callback flows, and synthetic-media detection."
banking--phishing_login_flow,Banking,finance,identity,Users are tricked into phishing flows that mimic official Banking login pages,91,94,81,88,54,"Phishing-resistant authentication, origin validation, and login anomaly detection."
banking--job_opportunity_trap,Banking,finance,fraud,Users chasing Banking opportunities fall into fake jobs or business offers,83,89,79,83,57,"Listing verification, recruiter proofing, and payout-safe workflows."
banking--rental_listing_fraud,Banking,finance,fraud,Users searching Banking listings cannot tell fake inventory from real supply,82,76,73,78,53,"Listing authenticity scoring, owner proof, and anti-escrow fraud protections."
banking--investment_scam,Banking,finance,fraud,Users are lured into fake Banking investment or yield schemes,93,88,68,84,46,"Investment verification rails, high-risk claim detection, and suspicious transfer intervention."
banking--seller_trust_gap,Banking,finance,marketplace,Users do not trust whether a Banking seller or provider is real,79,79,86,82,62,"Seller trust graphs, transaction guarantees, and identity-backed reputation."
banking--fake_reviews,Banking,finance,trust,"Users cannot trust reviews, ratings, or testimonials in Banking",74,72,89,78,67,"Review authenticity, verified outcomes, and anomaly-based reputation scoring."
banking--delivery_confusion,Banking,finance,operations,Users struggle to understand real delivery status in Banking,72,72,88,77,70,"Verified status feeds, exception alerts, and unified tracking UX."
banking--refund_delay,Banking,finance,payments,Users cannot predict when Banking refunds will actually arrive,76,70,84,78,72,"Refund timelines, bank-status translation, and self-serve refund intelligence."
banking--billing_confusion,Banking,finance,payments,"Users do not understand Banking charges, renewals, or fee structure",77,73,87,80,74,"Explainable billing, charge provenance, and proactive anomaly notices."
banking--subscription_cancellation,Banking,finance,payments,Users cannot cancel or downgrade Banking subscriptions cleanly,71,69,82,73,68,"Transparent offboarding, downgrade alternatives, and friction analytics."
banking--account_takeover,Banking,finance,identity,Users lose access to Banking accounts through takeover or session theft,89,90,76,86,65,"Session risk scoring, recovery hardening, and impossible-travel style anomaly controls."
banking--password_reset_pain,Banking,finance,identity,Users hit dead ends in Banking password reset and recovery flows,69,72,85,76,70,"Adaptive recovery routing, identity proofing, and state-aware help flows."
banking--otp_mfa_fatigue,Banking,finance,identity,Users in Banking face OTP and MFA fatigue without feeling truly protected,75,69,74,74,63,"Phishing-resistant auth, prompt abuse detection, and human-readable risk cues."
banking--support_wait_time,Banking,finance,support,Users cannot reach useful human support quickly in Banking,77,71,90,80,75,"Intent-aware routing, better escalation triggers, and queue transparency."
banking--self_service_failure,Banking,finance,support,Users try self-service in Banking but still end up stuck,73,71,91,79,81,"Resolution-focused knowledge design, step validation, and failure-loop analytics."
banking--ai_handoff_gap,Banking,finance,support,Users in Banking get trapped between AI help and human help,76,78,83,80,86,"Conversation memory, escalation contracts, and bot-to-human state transfer."
banking--feedback_void,Banking,finance,support,Users report problems in Banking but feel nothing changes,65,65,78,70,66,Closed-loop feedback orchestration and action-trace dashboards.
banking--privacy_transparency_gap,Banking,finance,privacy,Users do not understand how Banking uses personal data,70,62,80,73,67,"Plain-language data notices, purpose-level controls, and permission history."
banking--onboarding_dropoff,Banking,finance,conversion,Users abandon Banking onboarding before seeing value,68,65,88,76,73,"Risk-adaptive onboarding, progressive profiling, and abandonment analytics."
banking--checkout_abandonment,Banking,finance,conversion,Users in Banking abandon checkout when trust or cost changes too late,74,72,86,80,71,"Transparent checkout, pre-verified totals, and trust-state messaging."
banking--hidden_fees,Banking,finance,payments,Users discover hidden or confusing fees in Banking too late,72,71,79,75,66,"Price breakdowns, fee explainers, and cost-delta warnings."
banking--official_channel_confusion,Banking,finance,trust,Users cannot tell which Banking channels are official and safe,84,88,82,84,58,"Official-channel registries, signed notifications, and trust-verification UX."
banking--knowledge_fragmentation,Banking,finance,support,"Users in Banking get contradictory answers across help content, AI, and agents",69,63,77,72,79,"Unified knowledge graph, answer verification, and source-aware support systems."
banking--identity_proofing_friction,Banking,finance,identity,Legitimate users in Banking fail identity proofing while fraudsters still slip through,80,75,71,78,69,"Adaptive proofing, low-friction trust signals, and fallback recovery lanes."
fintech--imposter_scam,Fintech,finance,fraud,Users cannot tell real Fintech outreach from imposter scams,92,83,81,86,62,"Trust verification layer, message provenance, and outbound notice registry."
fintech--social_media_scam,Fintech,finance,fraud,Users get pulled from social feeds into fake Fintech offers,89,84,86,86,57,"Link reputation, seller verification, and ad-to-checkout risk scoring."
fintech--deepfake_voice_fraud,Fintech,finance,fraud,Users are vulnerable to deepfake or voice-clone fraud in Fintech,93,90,68,86,50,"Out-of-band verification, secure callback flows, and synthetic-media detection."
fintech--phishing_login_flow,Fintech,finance,identity,Users are tricked into phishing flows that mimic official Fintech login pages,94,94,75,88,55,"Phishing-resistant authentication, origin validation, and login anomaly detection."
fintech--job_opportunity_trap,Fintech,finance,fraud,Users chasing Fintech opportunities fall into fake jobs or business offers,86,89,73,83,59,"Listing verification, recruiter proofing, and payout-safe workflows."
fintech--rental_listing_fraud,Fintech,finance,fraud,Users searching Fintech listings cannot tell fake inventory from real supply,85,76,67,78,54,"Listing authenticity scoring, owner proof, and anti-escrow fraud protections."
fintech--investment_scam,Fintech,finance,fraud,Users are lured into fake Fintech investment or yield schemes,96,88,63,84,48,"Investment verification rails, high-risk claim detection, and suspicious transfer intervention."
fintech--seller_trust_gap,Fintech,finance,marketplace,Users do not trust whether a Fintech seller or provider is real,82,79,79,81,64,"Seller trust graphs, transaction guarantees, and identity-backed reputation."
fintech--fake_reviews,Fintech,finance,trust,"Users cannot trust reviews, ratings, or testimonials in Fintech",76,72,82,78,69,"Review authenticity, verified outcomes, and anomaly-based reputation scoring."
fintech--delivery_confusion,Fintech,finance,operations,Users struggle to understand real delivery status in Fintech,74,72,81,76,73,"Verified status feeds, exception alerts, and unified tracking UX."
fintech--refund_delay,Fintech,finance,payments,Users cannot predict when Fintech refunds will actually arrive,78,70,77,77,75,"Refund timelines, bank-status translation, and self-serve refund intelligence."
fintech--billing_confusion,Fintech,finance,payments,"Users do not understand Fintech charges, renewals, or fee structure",80,73,80,79,77,"Explainable billing, charge provenance, and proactive anomaly notices."
fintech--subscription_cancellation,Fintech,finance,payments,Users cannot cancel or downgrade Fintech subscriptions cleanly,74,69,75,73,70,"Transparent offboarding, downgrade alternatives, and friction analytics."
fintech--account_takeover,Fintech,finance,identity,Users lose access to Fintech accounts through takeover or session theft,92,90,70,86,67,"Session risk scoring, recovery hardening, and impossible-travel style anomaly controls."
fintech--password_reset_pain,Fintech,finance,identity,Users hit dead ends in Fintech password reset and recovery flows,72,72,78,75,72,"Adaptive recovery routing, identity proofing, and state-aware help flows."
fintech--otp_mfa_fatigue,Fintech,finance,identity,Users in Fintech face OTP and MFA fatigue without feeling truly protected,77,69,68,74,65,"Phishing-resistant auth, prompt abuse detection, and human-readable risk cues."
fintech--support_wait_time,Fintech,finance,support,Users cannot reach useful human support quickly in Fintech,79,71,83,79,78,"Intent-aware routing, better escalation triggers, and queue transparency."
fintech--self_service_failure,Fintech,finance,support,Users try self-service in Fintech but still end up stuck,75,71,84,78,83,"Resolution-focused knowledge design, step validation, and failure-loop analytics."
fintech--ai_handoff_gap,Fintech,finance,support,Users in Fintech get trapped between AI help and human help,78,78,76,80,89,"Conversation memory, escalation contracts, and bot-to-human state transfer."
fintech--feedback_void,Fintech,finance,support,Users report problems in Fintech but feel nothing changes,68,65,72,70,68,Closed-loop feedback orchestration and action-trace dashboards.
fintech--privacy_transparency_gap,Fintech,finance,privacy,Users do not understand how Fintech uses personal data,73,62,74,73,69,"Plain-language data notices, purpose-level controls, and permission history."
fintech--onboarding_dropoff,Fintech,finance,conversion,Users abandon Fintech onboarding before seeing value,71,65,81,76,76,"Risk-adaptive onboarding, progressive profiling, and abandonment analytics."
fintech--checkout_abandonment,Fintech,finance,conversion,Users in Fintech abandon checkout when trust or cost changes too late,76,72,79,79,74,"Transparent checkout, pre-verified totals, and trust-state messaging."
fintech--hidden_fees,Fintech,finance,payments,Users discover hidden or confusing fees in Fintech too late,74,71,73,75,68,"Price breakdowns, fee explainers, and cost-delta warnings."
fintech--official_channel_confusion,Fintech,finance,trust,Users cannot tell which Fintech channels are official and safe,87,88,75,83,60,"Official-channel registries, signed notifications, and trust-verification UX."
fintech--knowledge_fragmentation,Fintech,finance,support,"Users in Fintech get contradictory answers across help content, AI, and agents",72,63,71,71,81,"Unified knowledge graph, answer verification, and source-aware support systems."
fintech--identity_proofing_friction,Fintech,finance,identity,Legitimate users in Fintech fail identity proofing while fraudsters still slip through,83,75,65,78,71,"Adaptive proofing, low-friction trust signals, and fallback recovery lanes."
insurance--imposter_scam,Insurance,finance,fraud,Users cannot tell real Insurance outreach from imposter scams,95,83,83,87,64,"Trust verification layer, message provenance, and outbound notice registry."
insurance--social_media_scam,Insurance,finance,fraud,Users get pulled from social feeds into fake Insurance offers,92,84,88,87,59,"Link reputation, seller verification, and ad-to-checkout risk scoring."
insurance--deepfake_voice_fraud,Insurance,finance,fraud,Users are vulnerable to deepfake or voice-clone fraud in Insurance,96,90,70,87,52,"Out-of-band verification, secure callback flows, and synthetic-media detection."
insurance--phishing_login_flow,Insurance,finance,identity,Users are tricked into phishing flows that mimic official Insurance login pages,97,94,77,89,57,"Phishing-resistant authentication, origin validation, and login anomaly detection."
insurance--job_opportunity_trap,Insurance,finance,fraud,Users chasing Insurance opportunities fall into fake jobs or business offers,89,89,75,84,61,"Listing verification, recruiter proofing, and payout-safe workflows."
insurance--rental_listing_fraud,Insurance,finance,fraud,Users searching Insurance listings cannot tell fake inventory from real supply,88,76,69,79,56,"Listing authenticity scoring, owner proof, and anti-escrow fraud protections."
insurance--investment_scam,Insurance,finance,fraud,Users are lured into fake Insurance investment or yield schemes,99,88,64,85,49,"Investment verification rails, high-risk claim detection, and suspicious transfer intervention."
insurance--seller_trust_gap,Insurance,finance,marketplace,Users do not trust whether a Insurance seller or provider is real,85,79,81,83,66,"Seller trust graphs, transaction guarantees, and identity-backed reputation."
insurance--fake_reviews,Insurance,finance,trust,"Users cannot trust reviews, ratings, or testimonials in Insurance",79,72,84,79,71,"Review authenticity, verified outcomes, and anomaly-based reputation scoring."
insurance--delivery_confusion,Insurance,finance,operations,Users struggle to understand real delivery status in Insurance,77,72,83,78,75,"Verified status feeds, exception alerts, and unified tracking UX."
insurance--refund_delay,Insurance,finance,payments,Users cannot predict when Insurance refunds will actually arrive,81,70,79,79,77,"Refund timelines, bank-status translation, and self-serve refund intelligence."
insurance--billing_confusion,Insurance,finance,payments,"Users do not understand Insurance charges, renewals, or fee structure",83,73,82,81,79,"Explainable billing, charge provenance, and proactive anomaly notices."
insurance--subscription_cancellation,Insurance,finance,payments,Users cannot cancel or downgrade Insurance subscriptions cleanly,76,69,77,74,72,"Transparent offboarding, downgrade alternatives, and friction analytics."
insurance--account_takeover,Insurance,finance,identity,Users lose access to Insurance accounts through takeover or session theft,95,90,72,87,69,"Session risk scoring, recovery hardening, and impossible-travel style anomaly controls."
insurance--password_reset_pain,Insurance,finance,identity,Users hit dead ends in Insurance password reset and recovery flows,74,72,80,76,74,"Adaptive recovery routing, identity proofing, and state-aware help flows."
insurance--otp_mfa_fatigue,Insurance,finance,identity,Users in Insurance face OTP and MFA fatigue without feeling truly protected,80,69,70,75,67,"Phishing-resistant auth, prompt abuse detection, and human-readable risk cues."
insurance--support_wait_time,Insurance,finance,support,Users cannot reach useful human support quickly in Insurance,82,71,85,81,80,"Intent-aware routing, better escalation triggers, and queue transparency."
insurance--self_service_failure,Insurance,finance,support,Users try self-service in Insurance but still end up stuck,78,71,86,79,86,"Resolution-focused knowledge design, step validation, and failure-loop analytics."
insurance--ai_handoff_gap,Insurance,finance,support,Users in Insurance get trapped between AI help and human help,81,78,78,81,92,"Conversation memory, escalation contracts, and bot-to-human state transfer."
insurance--feedback_void,Insurance,finance,support,Users report problems in Insurance but feel nothing changes,70,65,74,71,70,Closed-loop feedback orchestration and action-trace dashboards.
insurance--privacy_transparency_gap,Insurance,finance,privacy,Users do not understand how Insurance uses personal data,75,62,76,74,71,"Plain-language data notices, purpose-level controls, and permission history."
insurance--onboarding_dropoff,Insurance,finance,conversion,Users abandon Insurance onboarding before seeing value,73,65,83,77,78,"Risk-adaptive onboarding, progressive profiling, and abandonment analytics."
insurance--checkout_abandonment,Insurance,finance,conversion,Users in Insurance abandon checkout when trust or cost changes too late,79,72,81,81,76,"Transparent checkout, pre-verified totals, and trust-state messaging."
insurance--hidden_fees,Insurance,finance,payments,Users discover hidden or confusing fees in Insurance too late,77,71,75,76,70,"Price breakdowns, fee explainers, and cost-delta warnings."
